,username,repositories,followers,stars,forks,contributions
177,jdori,0,32,0,0,0
178,dryfish,7,12,1,0,0
179,yh453926638,370,17,3,0,0
180,BlackthornYugen,24,11,1,1,0
181,javasoze,23,272,254,101,0
182,jnunemaker,69,1509,8801,1539,0
183,johnwalker,114,32,146,12,0
184,johnhenry,158,22,58,33,0
185,lucena,8,20,0,2,0
186,yoongfook,32,9,17,7,0
187,special,76,109,6,2,0
188,joerter,46,8,1,2,0
189,PragmaticCypher,35,9,9,2,0
190,hitch17,7,11,18,9,0
191,zhy1stgg,56,28,7,2,0
192,ledbettj,27,8,84,25,0
193,redsnapper8t8,41,7,19,3,0
194,johnsliao,46,7,11,2,0
195,jwiegley,258,1105,5975,960,0
196,jchodera,86,114,9,3,0
197,Kawohl,21,11,2,6,0
198,jbarham,15,12,319,46,0
199,tikaro,9,14,2,1,0
200,jnschaeffer,16,12,5,3,0
201,johnmyleswhite,162,2217,5955,3008,0
202,shyftframework,16,12,0,0,0
203,j0hnm4r5,33,7,12,21,0
204,ZTGravity,13,69,0,0,0
205,madigan,19,3,0,0,0
206,jad,17,11,56,11,0
207,johnny-morrice,31,9,62,4,0
208,rekav0k,33,8,13,1,0
209,magnumripper,19,200,1524,439,0
210,tampajohn,26,9,47,15,0
211,JohnTigue,42,7,3,1,0
212,johngrib,58,105,1437,46,0
213,johnlindquist,225,1019,1350,410,0
214,SeriouslyAwesome,13,12,13,1,0
215,jkitchin,60,391,1071,384,0
216,vegasgeek,4,22,7,2,0
217,kjschulz,14,10,2,3,0
218,johnlui,27,2102,9316,1873,0
219,jmtuley,10,11,7,1,0
220,trengrj,22,8,38,1,0
221,jstac,37,135,123,149,0
222,jcech,18,10,0,0,0
223,muschellij2,316,155,214,163,0
224,nzjrs,61,97,282,114,0
225,jiangzhw,173,14,41,27,0
226,johnwyles,14,12,36,12,0
227,coldshower,36,6,4,1,0
228,johnmcbride,25,8,9,7,0
229,springframeworkguru,91,836,566,2090,0
230,jlynn,24,8,8,7,0
231,indigoid,47,5,5,2,0
232,johnlok,9,13,1,0,0
233,ReticentJohn,19,10,113,29,0
234,jrobson153,9,11,1,3,0
235,tantalor,68,34,223,49,0
236,johnbillion,39,366,1342,209,0
237,merrells,13,9,0,0,0
238,jpaterson,18,5,0,0,0
239,GrandadEvans,28,4,9,3,0
240,weisjohn,107,59,89,29,0
241,beppu,33,106,192,21,0
242,JohnONeill,6,12,0,0,0
243,Nexuapex,9,12,2,0,0
244,Phits,27,7,0,0,0
245,johnschimmel,84,67,231,188,0
246,tuxcodejohn,26,30,20,4,0
247,itsjohnward,49,5,2,2,0
248,tjwudi,228,482,289,51,0
249,johnotander,296,397,3397,1496,0
250,johnfriel,4,14,1,0,0
251,John-Connolly,6,12,260,11,0
252,jccovey,24,7,26,4,0
253,johngodley,14,46,180,72,0
254,jsonmez,6,179,79,48,0
255,john30,14,19,125,70,0
256,lannon,45,5,4,0,0
257,johndpope,3366,154,114,87,0
258,johnwmcarneiro,13,10,0,0,0
259,jhnlsn,80,17,30,2,0
260,cd24,26,7,4,1,0
261,johnvelis,9,10,0,0,0
262,JohnStratoudakis,14,8,4,0,0
263,fabrikagency,21,7,8,0,0
264,jgroszko,23,6,9,1,0
265,jlsphar,94,19,2,1,0
266,johnpolacek,65,635,8808,1698,0
267,jcmurray,57,4,0,1,0
268,Ericson2314,43,64,110,18,0
269,johnpena,3,20,0,0,0
270,jmurowaniecki,99,45,5,2,0
271,JohnKellyFerguson,20,35,23,5,0
272,johncausey,6,11,2,1,0
273,jdetter,5,16,11,1,0
274,digitalvectorz,14,9,5,0,0
275,jcobb,17,37,578,364,0
276,multiplier,27,6,11,8,0
277,jlwebster,15,8,1,0,0
278,jbarnette,72,715,1394,146,0
279,jgchristopher,52,28,7,1,0
280,jlindgren90,11,8,0,1,0
281,free1990,65,18,7,3,0
282,johnkil,34,1270,3986,1167,0
283,mediamaker,6,13,1,0,0
284,flibustier,15,30,20,1,0
285,jcroucher,12,5,13,8,0
286,j4johnfox,2,18,9,0,0
287,jweber,22,6,60,22,0
288,JohnAD,15,7,0,0,0
289,carnellj,23,84,116,290,0
290,johndbritton,33,759,92,46,0
291,jstevensog,12,31,45,104,0
292,Jammink2,34,5,0,13,0
293,kript,34,4,15,3,0
294,SidiGi,13,34,128,42,0
295,stackoverflowin,4,61,37,16,0
296,jmettraux,150,326,3165,383,0
297,jsirois,38,60,24,4,0
298,johndvorakHR,31,29,0,0,0
299,johnmave126,32,21,20,5,0
300,johnaoss,11,7,5,4,0
301,JohnathonKoster,15,4,28,10,0
302,unscriptable,50,507,134,14,0
303,johnbear724,8,41,3,1,0
304,jnewbery,40,174,22,9,0
305,johnhof,85,38,49,42,0
306,jyeg,50,56,1,1,0
307,jrdietrick,12,6,11,5,0
308,johnhaitas,14,6,4,0,0
309,jmkni,21,24,73,447,0
310,jmac,1,22,3,2,0
311,theblanchard,6,9,0,0,0
312,jfpoole,10,7,3,0,0
313,johnno1962,46,582,11021,810,0
314,s117,42,20,12,9,0
315,j-griffith,86,30,35,25,0
